,time,x,y,formula
0,2023-08-26 19-44-21,5743,-54,-310122
1,2023-08-26 19-44-24,5744,-54,-310176
2,2023-08-26 19-44-24,5744,-54,-310176
3,2023-08-26 19-44-26,5744,-54,-310176
4,2023-08-26 19-44-27,5743,-53,-304379
5,2023-08-26 19-44-27,5742,-53,-304326
6,2023-08-26 19-44-27,5742,-52,-298584
7,2023-08-26 19-44-27,5742,-52,-298584
8,2023-08-26 19-44-27,5743,-52,-298636
9,2023-08-26 19-44-27,5742,-59,-338778
10,2023-08-26 19-44-27,5742,-59,-338778
11,2023-08-26 19-44-28,5743,-59,-338837
12,2023-08-26 19-44-28,5742,-59,-338778
13,2023-08-26 19-44-28,5742,-59,-338778
14,2023-08-26 19-44-29,5745,-54,-310230
15,2023-08-26 19-44-29,5746,-54,-310284
16,2023-08-26 19-44-29,5746,-54,-310284
17,2023-08-26 19-44-29,5746,-54,-310284
18,2023-08-26 19-44-29,5745,-53,-304485
19,2023-08-26 19-44-29,5746,-54,-310284
20,2023-08-26 19-44-30,5742,-55,-315810
21,2023-08-26 19-44-30,5741,-54,-310014
22,2023-08-26 19-44-30,5742,-54,-310068
23,2023-08-26 19-44-31,5742,-54,-310068
24,2023-08-26 19-44-31,5742,-54,-310068
25,2023-08-26 19-44-31,5741,-54,-310014
26,2023-08-26 19-44-31,5742,-55,-315810
27,2023-08-26 19-44-31,5743,-55,-315865
28,2023-08-26 19-44-31,5742,-55,-315810
29,2023-08-26 19-44-31,5742,-55,-315810
30,2023-08-26 19-44-32,5742,-55,-315810
31,2023-08-26 19-44-32,5741,-54,-310014
32,2023-08-26 19-44-32,5742,-54,-310068
33,2023-08-26 19-44-32,5742,-54,-310068
34,2023-08-26 19-44-32,5742,-54,-310068
35,2023-08-26 19-44-32,5742,-54,-310068
36,2023-08-26 19-44-32,5742,-55,-315810
37,2023-08-26 19-44-33,5744,-68,-390592
38,2023-08-26 19-44-33,5743,-68,-390524
39,2023-08-26 19-44-33,5743,-68,-390524
40,2023-08-26 19-44-33,5743,-68,-390524
41,2023-08-26 19-44-34,5743,-68,-390524
42,2023-08-26 19-44-34,5743,-55,-315865
43,2023-08-26 19-44-34,5740,-54,-309960
44,2023-08-26 19-44-34,5740,-55,-315700
45,2023-08-26 19-44-34,5739,-55,-315645
46,2023-08-26 19-44-34,5740,-55,-315700
47,2023-08-26 19-44-35,5740,-55,-315700
48,2023-08-26 19-44-35,5741,-55,-315755
49,2023-08-26 19-44-35,5741,-55,-315755
