,time,x,y,formula
0,2023-08-26 19-44-10,5743,-53,-304379
1,2023-08-26 19-44-10,5743,-53,-304379
2,2023-08-26 19-44-10,5743,-53,-304379
3,2023-08-26 19-44-10,5744,-53,-304432
4,2023-08-26 19-44-10,5744,-53,-304432
5,2023-08-26 19-44-10,5744,-53,-304432
6,2023-08-26 19-44-11,5744,-53,-304432
7,2023-08-26 19-44-11,5743,-53,-304379
8,2023-08-26 19-44-11,5743,-55,-315865
9,2023-08-26 19-44-11,5743,-55,-315865
10,2023-08-26 19-44-11,5743,-55,-315865
11,2023-08-26 19-44-11,5743,-55,-315865
12,2023-08-26 19-44-12,5744,-55,-315920
13,2023-08-26 19-44-12,5741,-59,-338719
14,2023-08-26 19-44-12,5740,-59,-338660
15,2023-08-26 19-44-12,5741,-59,-338719
16,2023-08-26 19-44-12,5741,-59,-338719
17,2023-08-26 19-44-12,5741,-59,-338719
18,2023-08-26 19-44-15,5744,-54,-310176
19,2023-08-26 19-44-15,5744,-54,-310176
20,2023-08-26 19-44-15,5743,-54,-310122
21,2023-08-26 19-44-15,5743,-54,-310122
22,2023-08-26 19-44-15,5743,-54,-310122
23,2023-08-26 19-44-15,5741,-57,-327237
24,2023-08-26 19-44-16,5741,-57,-327237
25,2023-08-26 19-44-16,5741,-57,-327237
26,2023-08-26 19-44-16,5741,-58,-332978
27,2023-08-26 19-44-16,5741,-57,-327237
28,2023-08-26 19-44-17,5743,-54,-310122
29,2023-08-26 19-44-17,5743,-54,-310122
30,2023-08-26 19-44-17,5743,-54,-310122
31,2023-08-26 19-44-17,5743,-54,-310122
32,2023-08-26 19-44-17,5743,-54,-310122
33,2023-08-26 19-44-17,5742,-53,-304326
34,2023-08-26 19-44-18,5743,-54,-310122
35,2023-08-26 19-44-18,5743,-54,-310122
36,2023-08-26 19-44-18,5743,-54,-310122
37,2023-08-26 19-44-18,5743,-54,-310122
38,2023-08-26 19-44-18,5743,-53,-304379
39,2023-08-26 19-44-18,5741,-54,-310014
40,2023-08-26 19-44-19,5741,-54,-310014
41,2023-08-26 19-44-19,5741,-54,-310014
42,2023-08-26 19-44-19,5741,-54,-310014
43,2023-08-26 19-44-19,5742,-53,-304326
44,2023-08-26 19-44-19,5739,-53,-304167
45,2023-08-26 19-44-19,5739,-52,-298428
46,2023-08-26 19-44-19,5739,-52,-298428
47,2023-08-26 19-44-20,5739,-53,-304167
48,2023-08-26 19-44-20,5743,-53,-304379
49,2023-08-26 19-44-20,5743,-53,-304379
